year,month,data_mean_global,data_mean_nh,value
1959,9,313.41717395146196,311.543808469577,315.290539433347
1959,10,314.626698172314,313.920558861968,315.33283748266103
1959,11,315.78351555653,316.057169890502,315.50986122255796
1959,12,316.53482419993196,317.476509645082,315.593138754782
1960,1,317.092419670787,318.415196707265,315.769642634309
1960,2,317.523868887767,319.127719877653,315.92001789788
1960,3,317.891672077089,319.784526601788,315.99881755239
1960,4,318.146626311347,320.289507993032,316.00374462966204
1960,5,318.04860440893503,320.042534162277,316.054674655593
1960,6,317.24065551018697,318.287352196726,316.193958823648
1960,7,315.633752782723,314.957542969762,316.309962595685
1960,8,314.186425319012,312.116495220742,316.256355417283
1960,9,314.287468665539,312.432359265323,316.14257806575597
1960,10,315.48313085165,314.793724744494,316.172536958806
1960,11,316.619524214772,316.90841440352904,316.330634026015
1960,12,317.345423941266,318.300740995727,316.390106886805
1961,1,317.878948884258,319.217712858648,316.540184909867
1961,2,318.279217241608,319.897473135864,316.660961347352
1961,3,318.615171859518,320.520286956847,316.71005676219
1961,4,318.839569280505,320.991634821098,316.687503739913
1961,5,318.712627576672,320.710795705331,316.714459448013
1961,6,317.879695360086,318.924057941966,316.835332778205
1961,7,316.257474575208,315.57648381884303,316.938465331574
1961,8,314.806487052289,312.735222690328,316.87775141425
1961,9,314.911688715894,313.059064599942,316.764312831845
1961,10,316.118890645727,315.43625466985196,316.801526621601
1961,11,317.271477117843,317.571716168931,316.971238066755
1961,12,318.01631740453803,318.986331529379,317.046303279698
1962,1,318.569544360066,319.924016695806,317.215072024327
1962,2,318.99056099241,320.626262047622,317.35485993719897
1962,3,319.346435190311,321.270301946624,317.422568433998
1962,4,319.58876664097403,321.760176828493,317.41735645345403
1962,5,319.475381273961,321.492056951775,317.458705596148
1962,6,318.650731034153,319.711519000097,317.589943068208
1962,7,317.03324551296004,316.36801383287496,317.698477193045
1962,8,315.58239920903196,313.52899634997897,317.63580206808496
1962,9,315.67994731842003,313.847572471336,317.512322165503
1962,10,316.873724269759,316.214081401203,317.533367138316
1962,11,318.007532509371,318.33373340248903,317.681331616254
1962,12,318.72928863226,319.727291669813,317.73128559470797
1963,1,319.257400740594,320.641229751504,317.87357172968495
1963,2,319.651224680605,321.317120336245,317.985329024964
1963,3,319.98021831516496,321.93464593187997,318.02579069845
1963,4,320.19768793949197,322.39924314953,317.996132729454
1963,5,320.061812059155,322.10664936567,318.01697475264
1963,6,319.219034426345,320.304635874949,318.133432977741
1963,7,317.592653018688,316.950718807621,318.23458722975397
1963,8,316.143914903476,314.11560855767203,318.172221249281
1963,9,316.251548189461,314.44638166807704,318.056714710844
1963,10,317.462583364647,316.832650935004,318.09251579429
1963,11,318.617977558912,318.976637519078,318.259317598746
1963,12,319.36349168195096,320.395670231077,318.331313132825
1964,1,319.910040208685,321.323185043056,318.496895374314
1964,2,320.32798956587004,322.02338595259897,318.632593179141
1964,3,320.67927549871496,322.663609890277,318.694941107154
1964,4,320.91532507809603,323.147559786456,318.683090369735
1964,5,320.793072411261,322.870096874421,318.7160479481
1964,6,319.956948312869,321.076884428548,318.83701219719
1964,7,318.326889169707,317.720120726417,318.933657612997
1964,8,316.862232447446,314.867911303796,318.856553591096
1964,9,316.942837998653,315.170329475166,318.715346522141
1964,10,318.117762337502,317.51897771240897,318.716546962595
1964,11,319.23122748642203,319.61940948143297,318.84304549141103
1964,12,319.931935920158,320.992494664655,318.871377175662
1965,1,320.437699153689,321.882437823828,318.992960483549
1965,2,320.812529674691,322.53914568178396,319.085913667597
1965,3,321.125307152925,323.140222827733,319.110391478117
1965,4,321.330367594925,323.592107292601,319.068627897249
1965,5,321.18679581681704,323.291371180087,319.082220453547
1965,6,320.34209127396497,321.486859970686,319.197322577243
1965,7,318.720869805377,318.137786538449,319.303953072306
1965,8,317.285421174447,315.316039121025,319.25480322787
1965,9,317.41488880878603,315.668748432402,319.161029185169
1965,10,318.655488313315,318.084719451655,319.226257174976
1965,11,319.846799372656,320.264782790116,319.42881595519697
1965,12,320.633268301322,321.72483612819696,319.541700474447
1966,1,321.229452272446,322.706220280905,319.752684263986
1966,2,321.693902539394,323.45303410662,319.934770972169
1966,3,322.092320575393,324.139921120895,320.044720029892
1966,4,322.37520746325004,324.669275851721,320.081139074778
1966,5,322.29690332314897,324.432397958666,320.161408687631
1966,6,321.501264311736,322.67462588703603,320.327902736436
1966,7,319.91119574458196,319.35511589775,320.467275591415
1966,8,318.485208903829,316.54297412276503,320.427443684894
1966,9,318.597815808229,316.87917670499803,320.31645491145997
1966,10,319.79895723354804,319.256305888373,320.341608578724
1966,11,320.931929428908,321.378812239218,320.485046618597
1966,12,321.645358635518,322.765914208879,320.524803062157
1967,1,322.154651805228,323.656301969235,320.653001641221
1967,2,322.53083540717097,324.31391719575197,320.74775361858997
1967,3,322.840447467757,324.911186564922,320.769708370591
1967,4,323.038371867329,325.35496655589805,320.72177717876
1967,5,322.883676772636,325.041485149719,320.725868395553
1967,6,322.02452841817404,323.220339158961,320.82871767738703
1967,7,320.387408720086,319.85441173937403,320.92040570079797
1967,8,318.935190530057,317.016792478373,320.853588581741
1967,9,319.0464386977,317.352310437943,320.740566957458
1967,10,320.26850064821497,319.750934742308,320.786066554121
1967,11,321.440948501328,321.913428490702,320.968468511953
1967,12,322.208508026245,323.355435703078,321.061580349413
1968,1,322.78042586247994,324.30772881329,321.25312291167097
1968,2,323.228253427052,325.038029875839,321.418476978265
1968,3,323.612292138691,325.71111126102994,321.513473016353
1968,4,323.88321319246,326.22984283612004,321.5365835488
1968,5,323.79685814742,325.987797986506,321.605918308334
